bill_id,supplier,bill_date,due_date,bill_amount,category
BILL001,FreshFarm Organics,2026-07-01,2026-07-10,18500,Vegetables
BILL002,HealthyGrain Foods,2026-07-02,2026-07-15,24300,Gluten Free Ingredients
BILL003,GreenDairy Supplies,2026-07-03,2026-07-18,15750,Dairy
BILL004,ProteinPlus India,2026-07-04,2026-07-20,31200,Health Food
BILL005,EcoPack Solutions,2026-07-05,2026-07-25,12800,Packaging
BILL006,FreshFarm Organics,2026-07-06,2026-07-28,22100,Vegetables
BILL007,PowerGrid Mumbai,2026-07-07,2026-07-30,9800,Utilities
BILL008,HealthyGrain Foods,2026-07-08,2026-08-05,27600,Gluten Free Ingredients
BILL009,GreenDairy Supplies,2026-07-09,2026-08-10,18400,Dairy
BILL010,EcoPack Solutions,2026-07-10,2026-08-15,14500,Packaging
