bill_id,supplier,bill_date,due_date,bill_amount,total_paid,outstanding_amount,overpayment_amount,payment_count,days_overdue,days_until_due,payment_status
BILL001,FreshFarm Organics,2026-07-01,2026-07-10,18500,18500.0,0.0,0.0,1.0,21,0,PAID
BILL002,HealthyGrain Foods,2026-07-02,2026-07-15,24300,24300.0,0.0,0.0,1.0,16,0,PAID
BILL003,GreenDairy Supplies,2026-07-03,2026-07-18,15750,15750.0,0.0,0.0,1.0,13,0,PAID
BILL004,ProteinPlus India,2026-07-04,2026-07-20,31200,15000.0,16200.0,0.0,1.0,11,0,PARTIALLY PAID
BILL005,EcoPack Solutions,2026-07-05,2026-07-25,12800,12800.0,0.0,0.0,1.0,6,0,PAID
BILL006,FreshFarm Organics,2026-07-06,2026-07-28,22100,44200.0,0.0,22100.0,2.0,3,0,OVERPAID / POSSIBLE DUPLICATE
BILL007,PowerGrid Mumbai,2026-07-07,2026-07-30,9800,5000.0,4800.0,0.0,1.0,1,0,PARTIALLY PAID
BILL008,HealthyGrain Foods,2026-07-08,2026-08-05,27600,0.0,27600.0,0.0,0.0,0,5,UNPAID
BILL009,GreenDairy Supplies,2026-07-09,2026-08-10,18400,0.0,18400.0,0.0,0.0,0,10,UNPAID
BILL010,EcoPack Solutions,2026-07-10,2026-08-15,14500,0.0,14500.0,0.0,0.0,0,15,UNPAID
