ledger_id,period,account,account_type,debit,credit,closing_balance
TL001,2026-07,Sales Revenue,REVENUE,0,125000,125000
TL002,2026-07,Food & Ingredients Expense,EXPENSE,42000,0,42000
TL003,2026-07,Staff Expense,EXPENSE,95400,0,95400
TL004,2026-07,Rent Expense,EXPENSE,30000,0,30000
TL005,2026-07,Utilities Expense,EXPENSE,8500,0,8500
TL006,2026-07,Accounts Receivable,ASSET,129549,0,129549
TL007,2026-07,Accounts Payable,LIABILITY,0,81500,81500
TL008,2026-07,Bank Account,ASSET,0,382005,-382005
TL009,2026-07,GST Payable,LIABILITY,0,22500,22500
TL010,2026-07,Cash in Hand,ASSET,15000,0,15000
TL011,2026-07,Owner Capital,EQUITY,0,500000,500000
TL012,2026-07,Marketing Expense,EXPENSE,12000,0,12000
