payment_id,invoice_id,payment_date,payment_method,payment_amount,payment_status
PAY0001,INV0001,2026-07-21,UPI,472.5,Success
PAY0002,INV0002,2026-07-08,UPI,430.5,Success
PAY0003,INV0003,2026-07-19,UPI,441.0,Success
PAY0004,INV0004,2026-07-07,UPI,430.5,Success
PAY0005,INV0005,2026-07-23,UPI,1113.0,Success
PAY0006,INV0006,2026-07-25,UPI,1270.5,Success
PAY0007,INV0007,2026-07-31,Card,546.0,Success
PAY0008,INV0008,2026-07-04,UPI,1155.0,Success
PAY0009,INV0009,2026-07-24,UPI,367.5,Success
PAY0010,INV0010,2026-07-18,Cash,1092.0,Success
PAY0011,INV0011,2026-07-03,UPI,1018.5,Success
PAY0012,INV0012,2026-07-28,UPI,997.5,Success
PAY0013,INV0013,2026-07-12,Cash,1018.5,Success
PAY0014,INV0014,2026-07-21,Card,735.0,Success
PAY0015,INV0015,2026-07-09,UPI,735.0,Success
PAY0016,INV0016,2026-07-27,UPI,840.0,Success
PAY0017,INV0017,2026-07-07,Card,640.5,Success
PAY0018,INV0018,2026-07-29,UPI,976.5,Success
PAY0019,INV0019,2026-07-24,Cash,1050.0,Success
PAY0020,INV0020,2026-07-13,Card,934.5,Success
PAY0021,INV0021,2026-07-03,Cash,504.0,Success
PAY0022,INV0022,2026-07-06,Card,367.5,Success
PAY0023,INV0023,2026-07-20,Cash,871.5,Success
PAY0024,INV0024,2026-07-24,Card,840.0,Success
PAY0025,INV0025,2026-07-14,Cash,1417.5,Success
PAY0026,INV0026,2026-07-30,UPI,840.0,Success
PAY0027,INV0027,2026-07-12,Card,682.5,Success
PAY0028,INV0028,2026-07-16,Card,294.0,Success
PAY0029,INV0029,2026-07-08,UPI,1228.5,Success
PAY0030,INV0030,2026-07-24,UPI,430.5,Success
PAY0031,INV0031,2026-07-05,Cash,903.0,Success
PAY0032,INV0032,2026-07-14,Cash,840.0,Success
PAY0033,INV0033,2026-07-21,UPI,1207.5,Success
PAY0034,INV0034,2026-07-08,UPI,871.5,Success
PAY0035,INV0035,2026-07-19,Cash,546.0,Success
PAY0036,INV0036,2026-07-21,Card,987.0,Success
PAY0037,INV0037,2026-07-03,UPI,703.5,Success
PAY0038,INV0038,2026-07-18,UPI,1008.0,Success
PAY0039,INV0039,2026-07-04,Card,1092.0,Success
PAY0040,INV0040,2026-07-28,Card,441.0,Success
PAY0041,INV0041,2026-07-24,UPI,409.5,Success
PAY0042,INV0042,2026-07-07,Card,1554.0,Success
PAY0043,INV0043,2026-07-15,Cash,231.0,Success
PAY0044,INV0044,2026-07-04,UPI,546.0,Success
PAY0045,INV0045,2026-07-06,UPI,1008.0,Success
PAY0046,INV0046,2026-07-06,Card,367.5,Success
PAY0047,INV0047,2026-07-30,Cash,798.0,Success
PAY0048,INV0048,2026-07-23,UPI,882.0,Success
PAY0049,INV0052,2026-07-20,Bank Transfer,33516.0,Success
PAY0050,INV0053,2026-07-08,Bank Transfer,9450.0,Success
PAY0051,INV0054,2026-07-15,Card,26145.0,Success
PAY0052,INV0055,2026-07-29,Cash,19057.5,Success
PAY0053,INV0056,2026-07-23,Card,23205.0,Success
PAY0054,INV0057,2026-07-04,Cash,23205.0,Success
PAY0055,INV0058,2026-07-11,Cash,20790.0,Success
PAY0056,INV0059,2026-07-14,Card,24780.0,Success
PAY0057,INV0060,2026-07-06,UPI,43050.0,Success
PAY0058,INV0006,2026-07-25,UPI,1270.5,Success
