invoice_id,invoice_total,total_payment_amount,payment_count,total_bank_amount,bank_transaction_count,status
INV0001,472.5,472.5,1.0,472.5,1.0,MATCHED
INV0002,430.5,430.5,1.0,430.5,1.0,MATCHED
INV0003,441.0,441.0,1.0,441.0,1.0,MATCHED
INV0004,430.5,430.5,1.0,430.5,1.0,MATCHED
INV0005,1113.0,1113.0,1.0,1113.0,1.0,MATCHED
INV0006,1270.5,2541.0,2.0,2541.0,2.0,OVERPAID / POSSIBLE DUPLICATE
INV0007,546.0,546.0,1.0,546.0,1.0,MATCHED
INV0008,1155.0,1155.0,1.0,1155.0,1.0,MATCHED
INV0009,367.5,367.5,1.0,367.5,1.0,MATCHED
INV0010,1092.0,1092.0,1.0,1092.0,1.0,MATCHED
INV0011,1018.5,1018.5,1.0,1018.5,1.0,MATCHED
INV0012,997.5,997.5,1.0,997.5,1.0,MATCHED
INV0013,1018.5,1018.5,1.0,1018.5,1.0,MATCHED
INV0014,735.0,735.0,1.0,735.0,1.0,MATCHED
INV0015,735.0,735.0,1.0,735.0,1.0,MATCHED
INV0016,840.0,840.0,1.0,340.0,1.0,BANK MISMATCH
INV0017,640.5,640.5,1.0,640.5,1.0,MATCHED
INV0018,976.5,976.5,1.0,976.5,1.0,MATCHED
INV0019,1050.0,1050.0,1.0,1050.0,1.0,MATCHED
INV0020,934.5,934.5,1.0,934.5,1.0,MATCHED
INV0021,504.0,504.0,1.0,504.0,1.0,MATCHED
INV0022,367.5,367.5,1.0,367.5,1.0,MATCHED
INV0023,871.5,871.5,1.0,871.5,1.0,MATCHED
INV0024,840.0,840.0,1.0,840.0,1.0,MATCHED
INV0025,1417.5,1417.5,1.0,1417.5,1.0,MATCHED
INV0026,840.0,840.0,1.0,840.0,1.0,MATCHED
INV0027,682.5,682.5,1.0,682.5,1.0,MATCHED
INV0028,294.0,294.0,1.0,294.0,1.0,MATCHED
INV0029,1228.5,1228.5,1.0,1228.5,1.0,MATCHED
INV0030,430.5,430.5,1.0,430.5,1.0,MATCHED
INV0031,903.0,903.0,1.0,903.0,1.0,MATCHED
INV0032,840.0,840.0,1.0,840.0,1.0,MATCHED
INV0033,1207.5,1207.5,1.0,1207.5,1.0,MATCHED
INV0034,871.5,871.5,1.0,871.5,1.0,MATCHED
INV0035,546.0,546.0,1.0,546.0,1.0,MATCHED
INV0036,987.0,987.0,1.0,987.0,1.0,MATCHED
INV0037,703.5,703.5,1.0,703.5,1.0,MATCHED
INV0038,1008.0,1008.0,1.0,1008.0,1.0,MATCHED
INV0039,1092.0,1092.0,1.0,1092.0,1.0,MATCHED
INV0040,441.0,441.0,1.0,441.0,1.0,MATCHED
INV0041,409.5,409.5,1.0,409.5,1.0,MATCHED
INV0042,1554.0,1554.0,1.0,1554.0,1.0,MATCHED
INV0043,231.0,231.0,1.0,231.0,1.0,MATCHED
INV0044,546.0,546.0,1.0,546.0,1.0,MATCHED
INV0045,1008.0,1008.0,1.0,1008.0,1.0,MATCHED
INV0046,367.5,367.5,1.0,367.5,1.0,MATCHED
INV0047,798.0,798.0,1.0,798.0,1.0,MATCHED
INV0048,882.0,882.0,1.0,882.0,1.0,MATCHED
INV0049,44310.0,0.0,0.0,0.0,0.0,UNPAID
INV0050,20895.0,0.0,0.0,0.0,0.0,UNPAID
INV0051,40530.0,0.0,0.0,0.0,0.0,UNPAID
INV0052,47880.0,33516.0,1.0,33516.0,1.0,PARTIALLY PAID
INV0053,18900.0,9450.0,1.0,9450.0,1.0,PARTIALLY PAID
INV0054,26145.0,26145.0,1.0,26145.0,1.0,MATCHED
INV0055,19057.5,19057.5,1.0,19057.5,1.0,MATCHED
INV0056,23205.0,23205.0,1.0,23205.0,1.0,MATCHED
INV0057,23205.0,23205.0,1.0,23205.0,1.0,MATCHED
INV0058,20790.0,20790.0,1.0,20790.0,1.0,MATCHED
INV0059,24780.0,24780.0,1.0,24780.0,1.0,MATCHED
INV0060,43050.0,43050.0,1.0,43050.0,1.0,MATCHED
